mountain,base_depth,region,new_snow,day,year_total
Timberline Lodge,40 in.,Oregon,24 in.,"Nov 18, 2010",236 in.
Mt. Bachelor,56 in.,Oregon,7 in.,"Dec 30, 2009",331 in.
Mt. Bachelor,111 in.,Oregon,1 in.,"Mar 18, 2013",216 in.
Mt. Bachelor,112 in.,Oregon,3 in.,"Mar  7, 2014",453 in.
Mt. Bachelor,98 in.,Oregon,9 in.,"Mar 26, 2010",124 in.
Mt. Bachelor,63 in.,Oregon,6 in.,"Dec 14, 2015",168 in.
Mt. Hood Meadows,113 in.,Mt. Hood,5 in.,"Apr 14, 2013",223 in.
Mt. Bachelor,147 in.,Oregon,6 in.,"Mar 19, 2011",195 in.
Mt. Bachelor,124 in.,Oregon,8 in.,"Mar 12, 2012",255 in.
Mt. Hood Meadows,115 in.,Mt. Hood,9 in.,"Mar 18, 2014",241 in.
Mt. Hood Meadows,66 in.,Mt. Hood,13 in.,"Dec 22, 2015",178 in.
Mt. Hood Meadows,140 in.,Mt. Hood,10 in.,"Apr  6, 2011",217 in.
Mt. Hood Meadows,171 in.,Mt. Hood,11 in.,"Apr  2, 2009",285 in.
Mt. Hood Meadows,141 in.,Mt. Hood,6 in.,"Mar  2, 2012",265 in.
Mt. Hood Meadows,141 in.,Mt. Hood,6 in.,"Apr  8, 2010",158 in.
Timberline Lodge,73 in.,Oregon,1 in.,"Apr 17, 2014",295 in.
Timberline Lodge,96 in.,Oregon,4 in.,"Dec 25, 2015",310 in.
Timberline Lodge,201 in.,Oregon,2 in.,"May  7, 2011",319 in.
Timberline Lodge,138 in.,Oregon,1 in.,"May 22, 2012",327 in.
Timberline Lodge,34 in.,Oregon,4 in.,"Nov  9, 2009",366 in.
Timberline Lodge,165 in.,Oregon,9 in.,"Apr 20, 2013",254 in.
Timberline Lodge,39 in.,Oregon,5 in.,"Nov 20, 2010",241 in.
Mt. Bachelor,60 in.,Oregon,6 in.,"Dec 31, 2009",337 in.
Mt. Bachelor,110 in.,Oregon,24 in.,"Mar 19, 2013",240 in.
Mt. Bachelor,109 in.,Oregon,7 in.,"Mar  8, 2014",460 in.
Mt. Bachelor,102 in.,Oregon,6 in.,"Mar 27, 2010",130 in.
Mt. Bachelor,57 in.,Oregon,1 in.,"Dec 16, 2015",169 in.
Mt. Hood Meadows,112 in.,Mt. Hood,1 in.,"Apr 15, 2013",224 in.
Mt. Bachelor,148 in.,Oregon,3 in.,"Mar 20, 2011",198 in.
Mt. Bachelor,129 in.,Oregon,14 in.,"Mar 13, 2012",269 in.
Mt. Hood Meadows,112 in.,Mt. Hood,2 in.,"Mar 20, 2014",243 in.
Mt. Hood Meadows,72 in.,Mt. Hood,12 in.,"Dec 23, 2015",190 in.
Mt. Hood Meadows,154 in.,Mt. Hood,10 in.,"Apr  7, 2011",227 in.
